Feature;Name;Toolbox;Category;Family;Parent;Description
F0624;Chroma_C# (kurtosis);Marsyas;Harmony;Chroma;Chroma_C#;to be added later
F0625;Chroma_C# (max);Marsyas;Harmony;Chroma;Chroma_C#;to be added later
F0626;Chroma_C# (min);Marsyas;Harmony;Chroma;Chroma_C#;to be added later
F0627;Chroma_D (mean);Marsyas;Harmony;Chroma;Chroma_D;to be added later
F0628;Chroma_D (std);Marsyas;Harmony;Chroma;Chroma_D;to be added later
F0629;Chroma_D (skewness);Marsyas;Harmony;Chroma;Chroma_D;to be added later
F0630;Chroma_D (kurtosis);Marsyas;Harmony;Chroma;Chroma_D;to be added later
F0631;Chroma_D (max);Marsyas;Harmony;Chroma;Chroma_D;to be added later
F0632;Chroma_D (min);Marsyas;Harmony;Chroma;Chroma_D;to be added later
F0633;Chroma_D# (mean);Marsyas;Harmony;Chroma;Chroma_D#;to be added later
F0634;Chroma_D# (std);Marsyas;Harmony;Chroma;Chroma_D#;to be added later
F0635;Chroma_D# (skewness);Marsyas;Harmony;Chroma;Chroma_D#;to be added later
F0636;Chroma_D# (kurtosis);Marsyas;Harmony;Chroma;Chroma_D#;to be added later
F0637;Chroma_D# (max);Marsyas;Harmony;Chroma;Chroma_D#;to be added later
F0638;Chroma_D# (min);Marsyas;Harmony;Chroma;Chroma_D#;to be added later
F0639;Chroma_E (mean);Marsyas;Harmony;Chroma;Chroma_E;to be added later
F0640;Chroma_E (std);Marsyas;Harmony;Chroma;Chroma_E;to be added later
F0641;Chroma_E (skewness);Marsyas;Harmony;Chroma;Chroma_E;to be added later
F0642;Chroma_E (kurtosis);Marsyas;Harmony;Chroma;Chroma_E;to be added later
F0643;Chroma_E (max);Marsyas;Harmony;Chroma;Chroma_E;to be added later
F0644;Chroma_E (min);Marsyas;Harmony;Chroma;Chroma_E;to be added later
F0645;Chroma_F (mean);Marsyas;Harmony;Chroma;Chroma_F;to be added later
F0646;Chroma_F (std);Marsyas;Harmony;Chroma;Chroma_F;to be added later
F0647;Chroma_F (skewness);Marsyas;Harmony;Chroma;Chroma_F;to be added later
F0648;Chroma_F (kurtosis);Marsyas;Harmony;Chroma;Chroma_F;to be added later
F0649;Chroma_F (max);Marsyas;Harmony;Chroma;Chroma_F;to be added later
F0650;Chroma_F (min);Marsyas;Harmony;Chroma;Chroma_F;to be added later
F0651;Chroma_F# (mean);Marsyas;Harmony;Chroma;Chroma_F#;to be added later
F0652;Chroma_F# (std);Marsyas;Harmony;Chroma;Chroma_F#;to be added later
F0653;Chroma_F# (skewness);Marsyas;Harmony;Chroma;Chroma_F#;to be added later
F0654;Chroma_F# (kurtosis);Marsyas;Harmony;Chroma;Chroma_F#;to be added later
F0655;Chroma_F# (max);Marsyas;Harmony;Chroma;Chroma_F#;to be added later
F0656;Chroma_F# (min);Marsyas;Harmony;Chroma;Chroma_F#;to be added later
F0657;Chroma_G (mean);Marsyas;Harmony;Chroma;Chroma_G;to be added later
F0658;Chroma_G (std);Marsyas;Harmony;Chroma;Chroma_G;to be added later
F0659;Chroma_G (skewness);Marsyas;Harmony;Chroma;Chroma_G;to be added later
F0660;Chroma_G (kurtosis);Marsyas;Harmony;Chroma;Chroma_G;to be added later
F0661;Chroma_G (max);Marsyas;Harmony;Chroma;Chroma_G;to be added later
F0662;Chroma_G (min);Marsyas;Harmony;Chroma;Chroma_G;to be added later
F0663;Chroma_G# (mean);Marsyas;Harmony;Chroma;Chroma_G#;to be added later
F0664;Chroma_G# (std);Marsyas;Harmony;Chroma;Chroma_G#;to be added later
F0665;Chroma_G# (skewness);Marsyas;Harmony;Chroma;Chroma_G#;to be added later
F0666;Chroma_G# (kurtosis);Marsyas;Harmony;Chroma;Chroma_G#;to be added later
F0667;Chroma_G# (max);Marsyas;Harmony;Chroma;Chroma_G#;to be added later
F0668;Chroma_G# (min);Marsyas;Harmony;Chroma;Chroma_G#;to be added later
F0669;Average_Chroma_A (mean);Marsyas;Harmony;Chroma;Average_Chroma_A;to be added later
F0670;Average_Chroma_A (std);Marsyas;Harmony;Chroma;Average_Chroma_A;to be added later
F0671;Average_Chroma_A (skewness);Marsyas;Harmony;Chroma;Average_Chroma_A;to be added later
F0672;Average_Chroma_A (kurtosis);Marsyas;Harmony;Chroma;Average_Chroma_A;to be added later
F0673;Average_Chroma_A (max);Marsyas;Harmony;Chroma;Average_Chroma_A;to be added later
F0674;Average_Chroma_A (min);Marsyas;Harmony;Chroma;Average_Chroma_A;to be added later
F0675;Minimum_Chroma_A (mean);Marsyas;Harmony;Chroma;Minimum_Chroma_A;to be added later
F0676;Minimum_Chroma_A (std);Marsyas;Harmony;Chroma;Minimum_Chroma_A;to be added later
F0677;Minimum_Chroma_A (skewness);Marsyas;Harmony;Chroma;Minimum_Chroma_A;to be added later
F0678;Minimum_Chroma_A (kurtosis);Marsyas;Harmony;Chroma;Minimum_Chroma_A;to be added later
F0679;Minimum_Chroma_A (max);Marsyas;Harmony;Chroma;Minimum_Chroma_A;to be added later
F0680;Minimum_Chroma_A (min);Marsyas;Harmony;Chroma;Minimum_Chroma_A;to be added later
F0681;LPCC_1 (mean);Marsyas;Tone Color;LPCC;LPCC_1;to be added later
F0682;LPCC_1 (std);Marsyas;Tone Color;LPCC;LPCC_1;to be added later
F0683;LPCC_1 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_1 ;to be added later
F0684;LPCC_1 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_1 ;to be added later
F0685;LPCC_1 (max);Marsyas;Tone Color;LPCC;LPCC_1;to be added later
F0686;LPCC_1 (min);Marsyas;Tone Color;LPCC;LPCC_1;to be added later
F0687;LPCC_2 (mean);Marsyas;Tone Color;LPCC;LPCC_2;to be added later
F0688;LPCC_2 (std);Marsyas;Tone Color;LPCC;LPCC_2;to be added later
F0689;LPCC_2 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_2 ;to be added later
F0690;LPCC_2 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_2 ;to be added later
F0691;LPCC_2 (max);Marsyas;Tone Color;LPCC;LPCC_2;to be added later
F0692;LPCC_2 (min);Marsyas;Tone Color;LPCC;LPCC_2;to be added later
F0693;LPCC_3 (mean);Marsyas;Tone Color;LPCC;LPCC_3;to be added later
F0694;LPCC_3 (std);Marsyas;Tone Color;LPCC;LPCC_3;to be added later
F0695;LPCC_3 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_3 ;to be added later
F0696;LPCC_3 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_3 ;to be added later
F0697;LPCC_3 (max);Marsyas;Tone Color;LPCC;LPCC_3;to be added later
F0698;LPCC_3 (min);Marsyas;Tone Color;LPCC;LPCC_3;to be added later
F0699;LPCC_4 (mean);Marsyas;Tone Color;LPCC;LPCC_4;to be added later
F0700;LPCC_4 (std);Marsyas;Tone Color;LPCC;LPCC_4;to be added later
F0701;LPCC_4 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_4 ;to be added later
F0702;LPCC_4 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_4 ;to be added later
F0703;LPCC_4 (max);Marsyas;Tone Color;LPCC;LPCC_4;to be added later
F0704;LPCC_4 (min);Marsyas;Tone Color;LPCC;LPCC_4;to be added later
F0705;LPCC_5 (mean);Marsyas;Tone Color;LPCC;LPCC_5;to be added later
F0706;LPCC_5 (std);Marsyas;Tone Color;LPCC;LPCC_5;to be added later
F0707;LPCC_5 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_5 ;to be added later
F0708;LPCC_5 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_5 ;to be added later
F0709;LPCC_5 (max);Marsyas;Tone Color;LPCC;LPCC_5;to be added later
F0710;LPCC_5 (min);Marsyas;Tone Color;LPCC;LPCC_5;to be added later
F0711;LPCC_6 (mean);Marsyas;Tone Color;LPCC;LPCC_6;to be added later
F0712;LPCC_6 (std);Marsyas;Tone Color;LPCC;LPCC_6;to be added later
F0713;LPCC_6 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_6 ;to be added later
F0714;LPCC_6 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_6 ;to be added later
F0715;LPCC_6 (max);Marsyas;Tone Color;LPCC;LPCC_6;to be added later
F0716;LPCC_6 (min);Marsyas;Tone Color;LPCC;LPCC_6;to be added later
F0717;LPCC_7 (mean);Marsyas;Tone Color;LPCC;LPCC_7;to be added later
F0718;LPCC_7 (std);Marsyas;Tone Color;LPCC;LPCC_7;to be added later
F0719;LPCC_7 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_7 ;to be added later
F0720;LPCC_7 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_7 ;to be added later
F0721;LPCC_7 (max);Marsyas;Tone Color;LPCC;LPCC_7;to be added later
F0722;LPCC_7 (min);Marsyas;Tone Color;LPCC;LPCC_7;to be added later
F0723;LPCC_8 (mean);Marsyas;Tone Color;LPCC;LPCC_8;to be added later
F0724;LPCC_8 (std);Marsyas;Tone Color;LPCC;LPCC_8;to be added later
F0725;LPCC_8 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_8 ;to be added later
F0726;LPCC_8 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_8 ;to be added later
F0727;LPCC_8 (max);Marsyas;Tone Color;LPCC;LPCC_8;to be added later
F0728;LPCC_8 (min);Marsyas;Tone Color;LPCC;LPCC_8;to be added later
F0729;LPCC_9 (mean);Marsyas;Tone Color;LPCC;LPCC_9;to be added later
F0730;LPCC_9 (std);Marsyas;Tone Color;LPCC;LPCC_9;to be added later
F0731;LPCC_9 (skewness) ;Marsyas;Tone Color;LPCC;LPCC_9 ;to be added later
F0732;LPCC_9 (kurtosis) ;Marsyas;Tone Color;LPCC;LPCC_9 ;to be added later
F0733;LPCC_9 (max);Marsyas;Tone Color;LPCC;LPCC_9;to be added later
F0734;LPCC_9 (min);Marsyas;Tone Color;LPCC;LPCC_9;to be added later
F0735;LPCC_10 (mean);Marsyas;Tone Color;LPCC;LPCC_10;to be added later
F0736;LPCC_10 (std);Marsyas;Tone Color;LPCC;LPCC_10;to be added later
F0737;LPCC_10 (skewness);Marsyas;Tone Color;LPCC;LPCC_10;to be added later
F0738;LPCC_10 (kurtosis);Marsyas;Tone Color;LPCC;LPCC_10;to be added later
F0739;LPCC_10 (max);Marsyas;Tone Color;LPCC;LPCC_10;to be added later
F0740;LPCC_10 (min);Marsyas;Tone Color;LPCC;LPCC_10;to be added later
F0741;LPCC_11 (mean);Marsyas;Tone Color;LPCC;LPCC_11;to be added later
F0742;LPCC_11 (std);Marsyas;Tone Color;LPCC;LPCC_11;to be added later
F0743;LPCC_11 (skewness);Marsyas;Tone Color;LPCC;LPCC_11;to be added later
F0744;LPCC_11 (kurtosis);Marsyas;Tone Color;LPCC;LPCC_11;to be added later
F0745;LPCC_11 (max);Marsyas;Tone Color;LPCC;LPCC_11;to be added later
F0746;LPCC_11 (min);Marsyas;Tone Color;LPCC;LPCC_11;to be added later
F0747;LPCC_12 (mean);Marsyas;Tone Color;LPCC;LPCC_12;to be added later
F0748;LPCC_12 (std);Marsyas;Tone Color;LPCC;LPCC_12;to be added later
F0749;LPCC_12 (skewness);Marsyas;Tone Color;LPCC;LPCC_12;to be added later
F0750;LPCC_12 (kurtosis);Marsyas;Tone Color;LPCC;LPCC_12;to be added later
F0751;LPCC_12 (max);Marsyas;Tone Color;LPCC;LPCC_12;to be added later
F0752;LPCC_12 (min);Marsyas;Tone Color;LPCC;LPCC_12;to be added later
F0753;LSP_1 (mean);Marsyas;Tone Color;LSP;LSP_1;to be added later
F0754;LSP_1 (std);Marsyas;Tone Color;LSP;LSP_1;to be added later
F0755;LSP_1 (skewness) ;Marsyas;Tone Color;LSP;LSP_1 ;to be added later
F0756;LSP_1 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_1 ;to be added later
F0757;LSP_1 (max);Marsyas;Tone Color;LSP;LSP_1;to be added later
F0758;LSP_1 (min);Marsyas;Tone Color;LSP;LSP_1;to be added later
F0759;LSP_2 (mean);Marsyas;Tone Color;LSP;LSP_2;to be added later
F0760;LSP_2 (std);Marsyas;Tone Color;LSP;LSP_2;to be added later
F0761;LSP_2 (skewness) ;Marsyas;Tone Color;LSP;LSP_2 ;to be added later
F0762;LSP_2 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_2 ;to be added later
F0763;LSP_2 (max);Marsyas;Tone Color;LSP;LSP_2;to be added later
F0764;LSP_2 (min);Marsyas;Tone Color;LSP;LSP_2;to be added later
F0765;LSP_3 (mean);Marsyas;Tone Color;LSP;LSP_3;to be added later
F0766;LSP_3 (std);Marsyas;Tone Color;LSP;LSP_3;to be added later
F0767;LSP_3 (skewness) ;Marsyas;Tone Color;LSP;LSP_3 ;to be added later
F0768;LSP_3 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_3 ;to be added later
F0769;LSP_3 (max);Marsyas;Tone Color;LSP;LSP_3;to be added later
F0770;LSP_3 (min);Marsyas;Tone Color;LSP;LSP_3;to be added later
F0771;LSP_4 (mean);Marsyas;Tone Color;LSP;LSP_4;to be added later
F0772;LSP_4 (std);Marsyas;Tone Color;LSP;LSP_4;to be added later
F0773;LSP_4 (skewness) ;Marsyas;Tone Color;LSP;LSP_4 ;to be added later
F0774;LSP_4 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_4 ;to be added later
F0775;LSP_4 (max);Marsyas;Tone Color;LSP;LSP_4;to be added later
F0776;LSP_4 (min);Marsyas;Tone Color;LSP;LSP_4;to be added later
F0777;LSP_5 (mean);Marsyas;Tone Color;LSP;LSP_5;to be added later
F0778;LSP_5 (std);Marsyas;Tone Color;LSP;LSP_5;to be added later
F0779;LSP_5 (skewness) ;Marsyas;Tone Color;LSP;LSP_5 ;to be added later
F0780;LSP_5 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_5 ;to be added later
F0781;LSP_5 (max);Marsyas;Tone Color;LSP;LSP_5;to be added later
F0782;LSP_5 (min);Marsyas;Tone Color;LSP;LSP_5;to be added later
F0783;LSP_6 (mean);Marsyas;Tone Color;LSP;LSP_6;to be added later
F0784;LSP_6 (std);Marsyas;Tone Color;LSP;LSP_6;to be added later
F0785;LSP_6 (skewness) ;Marsyas;Tone Color;LSP;LSP_6 ;to be added later
F0786;LSP_6 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_6 ;to be added later
F0787;LSP_6 (max);Marsyas;Tone Color;LSP;LSP_6;to be added later
F0788;LSP_6 (min);Marsyas;Tone Color;LSP;LSP_6;to be added later
F0789;LSP_7 (mean);Marsyas;Tone Color;LSP;LSP_7;to be added later
F0790;LSP_7 (std);Marsyas;Tone Color;LSP;LSP_7;to be added later
F0791;LSP_7 (skewness) ;Marsyas;Tone Color;LSP;LSP_7 ;to be added later
F0792;LSP_7 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_7 ;to be added later
F0793;LSP_7 (max);Marsyas;Tone Color;LSP;LSP_7;to be added later
F0794;LSP_7 (min);Marsyas;Tone Color;LSP;LSP_7;to be added later
F0795;LSP_8 (mean);Marsyas;Tone Color;LSP;LSP_8;to be added later
F0796;LSP_8 (std);Marsyas;Tone Color;LSP;LSP_8;to be added later
F0797;LSP_8 (skewness) ;Marsyas;Tone Color;LSP;LSP_8 ;to be added later
F0798;LSP_8 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_8 ;to be added later
F0799;LSP_8 (max);Marsyas;Tone Color;LSP;LSP_8;to be added later
F0800;LSP_8 (min);Marsyas;Tone Color;LSP;LSP_8;to be added later
F0801;LSP_9 (mean);Marsyas;Tone Color;LSP;LSP_9;to be added later
F0802;LSP_9 (std);Marsyas;Tone Color;LSP;LSP_9;to be added later
F0803;LSP_9 (skewness) ;Marsyas;Tone Color;LSP;LSP_9 ;to be added later
F0804;LSP_9 (kurtosis) ;Marsyas;Tone Color;LSP;LSP_9 ;to be added later
F0805;LSP_9 (max);Marsyas;Tone Color;LSP;LSP_9;to be added later
F0806;LSP_9 (min);Marsyas;Tone Color;LSP;LSP_9;to be added later
F0807;LSP_10 (mean);Marsyas;Tone Color;LSP;LSP_10;to be added later
F0808;LSP_10 (std);Marsyas;Tone Color;LSP;LSP_10;to be added later
F0809;LSP_10 (skewness);Marsyas;Tone Color;LSP;LSP_10;to be added later
F0810;LSP_10 (kurtosis);Marsyas;Tone Color;LSP;LSP_10;to be added later
F0811;LSP_10 (max);Marsyas;Tone Color;LSP;LSP_10;to be added later
F0812;LSP_10 (min);Marsyas;Tone Color;LSP;LSP_10;to be added later
F0813;LSP_11 (mean);Marsyas;Tone Color;LSP;LSP_11;to be added later
F0814;LSP_11 (std);Marsyas;Tone Color;LSP;LSP_11;to be added later
F0815;LSP_11 (skewness);Marsyas;Tone Color;LSP;LSP_11;to be added later
F0816;LSP_11 (kurtosis);Marsyas;Tone Color;LSP;LSP_11;to be added later
F0817;LSP_11 (max);Marsyas;Tone Color;LSP;LSP_11;to be added later
F0818;LSP_11 (min);Marsyas;Tone Color;LSP;LSP_11;to be added later
F0819;LSP_12 (mean);Marsyas;Tone Color;LSP;LSP_12;to be added later
F0820;LSP_12 (std);Marsyas;Tone Color;LSP;LSP_12;to be added later
F0821;LSP_12 (skewness);Marsyas;Tone Color;LSP;LSP_12;to be added later
F0822;LSP_12 (kurtosis);Marsyas;Tone Color;LSP;LSP_12;to be added later
F0823;LSP_12 (max);Marsyas;Tone Color;LSP;LSP_12;to be added later
F0824;LSP_12 (min);Marsyas;Tone Color;LSP;LSP_12;to be added later
F0825;LSP_13 (mean);Marsyas;Tone Color;LSP;LSP_13;to be added later
F0826;LSP_13 (std);Marsyas;Tone Color;LSP;LSP_13;to be added later
F0827;LSP_13 (skewness);Marsyas;Tone Color;LSP;LSP_13;to be added later
F0828;LSP_13 (kurtosis);Marsyas;Tone Color;LSP;LSP_13;to be added later
F0829;LSP_13 (max);Marsyas;Tone Color;LSP;LSP_13;to be added later
F0830;LSP_13 (min);Marsyas;Tone Color;LSP;LSP_13;to be added later
F0831;LSP_14 (mean);Marsyas;Tone Color;LSP;LSP_14;to be added later
F0832;LSP_14 (std);Marsyas;Tone Color;LSP;LSP_14;to be added later
F0833;LSP_14 (skewness);Marsyas;Tone Color;LSP;LSP_14;to be added later
F0834;LSP_14 (kurtosis);Marsyas;Tone Color;LSP;LSP_14;to be added later
F0835;LSP_14 (max);Marsyas;Tone Color;LSP;LSP_14;to be added later
F0836;LSP_14 (min);Marsyas;Tone Color;LSP;LSP_14;to be added later
F0837;LSP_15 (mean);Marsyas;Tone Color;LSP;LSP_15;to be added later
F0838;LSP_15 (std);Marsyas;Tone Color;LSP;LSP_15;to be added later
F0839;LSP_15 (skewness);Marsyas;Tone Color;LSP;LSP_15;to be added later
F0840;LSP_15 (kurtosis);Marsyas;Tone Color;LSP;LSP_15;to be added later
F0841;LSP_15 (max);Marsyas;Tone Color;LSP;LSP_15;to be added later
F0842;LSP_15 (min);Marsyas;Tone Color;LSP;LSP_15;to be added later
F0843;LSP_16 (mean);Marsyas;Tone Color;LSP;LSP_16;to be added later
F0844;LSP_16 (std);Marsyas;Tone Color;LSP;LSP_16;to be added later
F0845;LSP_16 (skewness);Marsyas;Tone Color;LSP;LSP_16;to be added later
F0846;LSP_16 (kurtosis);Marsyas;Tone Color;LSP;LSP_16;to be added later
F0847;LSP_16 (max);Marsyas;Tone Color;LSP;LSP_16;to be added later
F0848;LSP_16 (min);Marsyas;Tone Color;LSP;LSP_16;to be added later
F0849;LSP_17 (mean);Marsyas;Tone Color;LSP;LSP_17;to be added later
F0850;LSP_17 (std);Marsyas;Tone Color;LSP;LSP_17;to be added later
F0851;LSP_17 (skewness);Marsyas;Tone Color;LSP;LSP_17;to be added later
F0852;LSP_17 (kurtosis);Marsyas;Tone Color;LSP;LSP_17;to be added later
F0853;LSP_17 (max);Marsyas;Tone Color;LSP;LSP_17;to be added later
F0854;LSP_17 (min);Marsyas;Tone Color;LSP;LSP_17;to be added later
F0855;LSP_18 (mean);Marsyas;Tone Color;LSP;LSP_18;to be added later
F0856;LSP_18 (std);Marsyas;Tone Color;LSP;LSP_18;to be added later
F0857;LSP_18 (skewness);Marsyas;Tone Color;LSP;LSP_18;to be added later
F0858;LSP_18 (kurtosis);Marsyas;Tone Color;LSP;LSP_18;to be added later
F0859;LSP_18 (max);Marsyas;Tone Color;LSP;LSP_18;to be added later
F0860;LSP_18 (min);Marsyas;Tone Color;LSP;LSP_18;to be added later
F0861;SFM_1 (mean);Marsyas;Tone Color;SFM;SFM_1;to be added later
F0862;SFM_1 (std);Marsyas;Tone Color;SFM;SFM_1;to be added later
F0863;SFM_1 (skewness) ;Marsyas;Tone Color;SFM;SFM_1 ;to be added later
F0864;SFM_1 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_1 ;to be added later
F0865;SFM_1 (max);Marsyas;Tone Color;SFM;SFM_1;to be added later
F0866;SFM_1 (min);Marsyas;Tone Color;SFM;SFM_1;to be added later
F0867;SFM_2 (mean);Marsyas;Tone Color;SFM;SFM_2;to be added later
F0868;SFM_2 (std);Marsyas;Tone Color;SFM;SFM_2;to be added later
F0869;SFM_2 (skewness) ;Marsyas;Tone Color;SFM;SFM_2 ;to be added later
F0870;SFM_2 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_2 ;to be added later
F0871;SFM_2 (max);Marsyas;Tone Color;SFM;SFM_2;to be added later
F0872;SFM_2 (min);Marsyas;Tone Color;SFM;SFM_2;to be added later
F0873;SFM_3 (mean);Marsyas;Tone Color;SFM;SFM_3;to be added later
F0874;SFM_3 (std);Marsyas;Tone Color;SFM;SFM_3;to be added later
F0875;SFM_3 (skewness) ;Marsyas;Tone Color;SFM;SFM_3 ;to be added later
F0876;SFM_3 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_3 ;to be added later
F0877;SFM_3 (max);Marsyas;Tone Color;SFM;SFM_3;to be added later
F0878;SFM_3 (min);Marsyas;Tone Color;SFM;SFM_3;to be added later
F0879;SFM_4 (mean);Marsyas;Tone Color;SFM;SFM_4;to be added later
F0880;SFM_4 (std);Marsyas;Tone Color;SFM;SFM_4;to be added later
F0881;SFM_4 (skewness) ;Marsyas;Tone Color;SFM;SFM_4 ;to be added later
F0882;SFM_4 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_4 ;to be added later
F0883;SFM_4 (max);Marsyas;Tone Color;SFM;SFM_4;to be added later
F0884;SFM_4 (min);Marsyas;Tone Color;SFM;SFM_4;to be added later
F0885;SFM_5 (mean);Marsyas;Tone Color;SFM;SFM_5;to be added later
F0886;SFM_5 (std);Marsyas;Tone Color;SFM;SFM_5;to be added later
F0887;SFM_5 (skewness) ;Marsyas;Tone Color;SFM;SFM_5 ;to be added later
F0888;SFM_5 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_5 ;to be added later
F0889;SFM_5 (max);Marsyas;Tone Color;SFM;SFM_5;to be added later
F0890;SFM_5 (min);Marsyas;Tone Color;SFM;SFM_5;to be added later
F0891;SFM_6 (mean);Marsyas;Tone Color;SFM;SFM_6;to be added later
F0892;SFM_6 (std);Marsyas;Tone Color;SFM;SFM_6;to be added later
F0893;SFM_6 (skewness) ;Marsyas;Tone Color;SFM;SFM_6 ;to be added later
F0894;SFM_6 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_6 ;to be added later
F0895;SFM_6 (max);Marsyas;Tone Color;SFM;SFM_6;to be added later
F0896;SFM_6 (min);Marsyas;Tone Color;SFM;SFM_6;to be added later
F0897;SFM_7 (mean);Marsyas;Tone Color;SFM;SFM_7;to be added later
F0898;SFM_7 (std);Marsyas;Tone Color;SFM;SFM_7;to be added later
F0899;SFM_7 (skewness) ;Marsyas;Tone Color;SFM;SFM_7 ;to be added later
F0900;SFM_7 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_7 ;to be added later
F0901;SFM_7 (max);Marsyas;Tone Color;SFM;SFM_7;to be added later
F0902;SFM_7 (min);Marsyas;Tone Color;SFM;SFM_7;to be added later
F0903;SFM_8 (mean);Marsyas;Tone Color;SFM;SFM_8;to be added later
F0904;SFM_8 (std);Marsyas;Tone Color;SFM;SFM_8;to be added later
F0905;SFM_8 (skewness) ;Marsyas;Tone Color;SFM;SFM_8 ;to be added later
F0906;SFM_8 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_8 ;to be added later
F0907;SFM_8 (max);Marsyas;Tone Color;SFM;SFM_8;to be added later
F0908;SFM_8 (min);Marsyas;Tone Color;SFM;SFM_8;to be added later
F0909;SFM_9 (mean);Marsyas;Tone Color;SFM;SFM_9;to be added later
F0910;SFM_9 (std);Marsyas;Tone Color;SFM;SFM_9;to be added later
F0911;SFM_9 (skewness) ;Marsyas;Tone Color;SFM;SFM_9 ;to be added later
F0912;SFM_9 (kurtosis) ;Marsyas;Tone Color;SFM;SFM_9 ;to be added later
F0913;SFM_9 (max);Marsyas;Tone Color;SFM;SFM_9;to be added later
F0914;SFM_9 (min);Marsyas;Tone Color;SFM;SFM_9;to be added later
F0915;SFM_10 (mean);Marsyas;Tone Color;SFM;SFM_10;to be added later
F0916;SFM_10 (std);Marsyas;Tone Color;SFM;SFM_10;to be added later
F0917;SFM_10 (skewness);Marsyas;Tone Color;SFM;SFM_10;to be added later
F0918;SFM_10 (kurtosis);Marsyas;Tone Color;SFM;SFM_10;to be added later
F0919;SFM_10 (max);Marsyas;Tone Color;SFM;SFM_10;to be added later
F0920;SFM_10 (min);Marsyas;Tone Color;SFM;SFM_10;to be added later
F0921;SFM_11 (mean);Marsyas;Tone Color;SFM;SFM_11;to be added later
F0922;SFM_11 (std);Marsyas;Tone Color;SFM;SFM_11;to be added later
F0923;SFM_11 (skewness);Marsyas;Tone Color;SFM;SFM_11;to be added later
F0924;SFM_11 (kurtosis);Marsyas;Tone Color;SFM;SFM_11;to be added later
F0925;SFM_11 (max);Marsyas;Tone Color;SFM;SFM_11;to be added later
F0926;SFM_11 (min);Marsyas;Tone Color;SFM;SFM_11;to be added later
F0927;SFM_12 (mean);Marsyas;Tone Color;SFM;SFM_12;to be added later
F0928;SFM_12 (std);Marsyas;Tone Color;SFM;SFM_12;to be added later
F0929;SFM_12 (skewness);Marsyas;Tone Color;SFM;SFM_12;to be added later
F0930;SFM_12 (kurtosis);Marsyas;Tone Color;SFM;SFM_12;to be added later
F0931;SFM_12 (max);Marsyas;Tone Color;SFM;SFM_12;to be added later
F0932;SFM_12 (min);Marsyas;Tone Color;SFM;SFM_12;to be added later
F0933;SFM_13 (mean);Marsyas;Tone Color;SFM;SFM_13;to be added later
F0934;SFM_13 (std);Marsyas;Tone Color;SFM;SFM_13;to be added later
F0935;SFM_13 (skewness);Marsyas;Tone Color;SFM;SFM_13;to be added later
F0936;SFM_13 (kurtosis);Marsyas;Tone Color;SFM;SFM_13;to be added later
F0937;SFM_13 (max);Marsyas;Tone Color;SFM;SFM_13;to be added later
F0938;SFM_13 (min);Marsyas;Tone Color;SFM;SFM_13;to be added later
F0939;SFM_14 (mean);Marsyas;Tone Color;SFM;SFM_14;to be added later
F0940;SFM_14 (std);Marsyas;Tone Color;SFM;SFM_14;to be added later
F0941;SFM_14 (skewness);Marsyas;Tone Color;SFM;SFM_14;to be added later
F0942;SFM_14 (kurtosis);Marsyas;Tone Color;SFM;SFM_14;to be added later
F0943;SFM_14 (max);Marsyas;Tone Color;SFM;SFM_14;to be added later
F0944;SFM_14 (min);Marsyas;Tone Color;SFM;SFM_14;to be added later
F0945;SFM_15 (mean);Marsyas;Tone Color;SFM;SFM_15;to be added later
F0946;SFM_15 (std);Marsyas;Tone Color;SFM;SFM_15;to be added later
F0947;SFM_15 (skewness);Marsyas;Tone Color;SFM;SFM_15;to be added later
